date,service,equipement,quantite_totale,en_service,disponible,taux_utilisation
2023-01-01,Réanimation,Respirateurs,120,90,30,0.757
2023-01-01,Réanimation,Moniteurs,90,75,15,0.835
2023-01-01,Réanimation,Perfuseurs,100,85,15,0.859
2023-01-01,Réanimation,Défibrillateurs,25,18,7,0.723
2023-01-01,Réanimation,Ventilateurs_NIV,80,68,12,0.854
2023-01-01,Réanimation,Échos,10,8,2,0.832
2023-01-01,Médecine,Moniteurs,180,167,13,0.933
2023-01-01,Médecine,Perfuseurs,450,364,86,0.809
2023-01-01,Médecine,Échos,30,20,10,0.682
2023-01-01,Médecine,Défibrillateurs,20,12,8,0.627
2023-01-01,Médecine,Respirateurs,20,13,7,0.678
2023-01-01,Chirurgie,Moniteurs,60,49,11,0.823
2023-01-01,Chirurgie,Perfuseurs,250,183,67,0.734
2023-01-01,Chirurgie,Échos,25,16,9,0.676
2023-01-01,Chirurgie,Défibrillateurs,20,11,9,0.594
2023-01-01,Chirurgie,Respirateurs,10,6,4,0.662
2023-01-01,Imagerie,IRM,5,4,1,0.933
2023-01-01,Imagerie,Scanners,4,3,1,0.895
2023-01-01,Imagerie,Échos,15,10,5,0.681
2023-01-01,Urgences,Moniteurs,25,20,5,0.838
2023-01-01,Urgences,Perfuseurs,35,27,8,0.774
2023-01-01,Urgences,Défibrillateurs,15,9,6,0.628
2023-01-02,Réanimation,Respirateurs,120,95,25,0.799
2023-01-02,Réanimation,Moniteurs,90,82,8,0.916
2023-01-02,Réanimation,Perfuseurs,100,84,16,0.848
2023-01-02,Réanimation,Défibrillateurs,25,17,8,0.681
2023-01-02,Réanimation,Ventilateurs_NIV,80,64,16,0.804
2023-01-02,Réanimation,Échos,10,8,2,0.801
2023-01-02,Médecine,Moniteurs,180,136,44,0.758
2023-01-02,Médecine,Perfuseurs,450,316,134,0.703
2023-01-02,Médecine,Échos,30,21,9,0.72
2023-01-02,Médecine,Défibrillateurs,20,11,9,0.6
2023-01-02,Médecine,Respirateurs,20,12,8,0.645
2023-01-02,Chirurgie,Moniteurs,60,48,12,0.813
2023-01-02,Chirurgie,Perfuseurs,250,182,68,0.728
2023-01-02,Chirurgie,Échos,25,17,8,0.703
2023-01-02,Chirurgie,Défibrillateurs,20,11,9,0.583
2023-01-02,Chirurgie,Respirateurs,10,6,4,0.652
2023-01-02,Imagerie,IRM,5,4,1,0.892
2023-01-02,Imagerie,Scanners,4,3,1,0.938
2023-01-02,Imagerie,Échos,15,10,5,0.731
2023-01-02,Urgences,Moniteurs,25,19,6,0.798
2023-01-02,Urgences,Perfuseurs,35,25,10,0.719
2023-01-02,Urgences,Défibrillateurs,15,8,7,0.58
2023-01-03,Réanimation,Respirateurs,120,85,35,0.714
2023-01-03,Réanimation,Moniteurs,90,76,14,0.849
2023-01-03,Réanimation,Perfuseurs,100,86,14,0.866
2023-01-03,Réanimation,Défibrillateurs,25,18,7,0.751
2023-01-03,Réanimation,Ventilateurs_NIV,80,71,9,0.888
2023-01-03,Réanimation,Échos,10,8,2,0.852
2023-01-03,Médecine,Moniteurs,180,152,28,0.845
2023-01-03,Médecine,Perfuseurs,450,319,131,0.71
2023-01-03,Médecine,Échos,30,21,9,0.707
2023-01-03,Médecine,Défibrillateurs,20,12,8,0.632
2023-01-03,Médecine,Respirateurs,20,13,7,0.663
2023-01-03,Chirurgie,Moniteurs,60,48,12,0.813
2023-01-03,Chirurgie,Perfuseurs,250,179,71,0.717
2023-01-03,Chirurgie,Échos,25,16,9,0.679
2023-01-03,Chirurgie,Défibrillateurs,20,12,8,0.6
2023-01-03,Chirurgie,Respirateurs,10,6,4,0.611
2023-01-03,Imagerie,IRM,5,4,1,0.888
2023-01-03,Imagerie,Scanners,4,3,1,0.922
2023-01-03,Imagerie,Échos,15,10,5,0.714
2023-01-03,Urgences,Moniteurs,25,20,5,0.821
2023-01-03,Urgences,Perfuseurs,35,26,9,0.749
2023-01-03,Urgences,Défibrillateurs,15,9,6,0.62
2023-01-04,Réanimation,Respirateurs,120,93,27,0.778
2023-01-04,Réanimation,Moniteurs,90,75,15,0.839
2023-01-04,Réanimation,Perfuseurs,100,87,13,0.872
2023-01-04,Réanimation,Défibrillateurs,25,18,7,0.722
2023-01-04,Réanimation,Ventilateurs_NIV,80,65,15,0.817
2023-01-04,Réanimation,Échos,10,8,2,0.862
2023-01-04,Médecine,Moniteurs,180,142,38,0.791
2023-01-04,Médecine,Perfuseurs,450,328,122,0.73
2023-01-04,Médecine,Échos,30,20,10,0.683
2023-01-04,Médecine,Défibrillateurs,20,12,8,0.643
2023-01-04,Médecine,Respirateurs,20,12,8,0.621
2023-01-04,Chirurgie,Moniteurs,60,46,14,0.776
2023-01-04,Chirurgie,Perfuseurs,250,191,59,0.764
2023-01-04,Chirurgie,Échos,25,18,7,0.744
2023-01-04,Chirurgie,Défibrillateurs,20,10,10,0.537
2023-01-04,Chirurgie,Respirateurs,10,6,4,0.68
2023-01-04,Imagerie,IRM,5,4,1,0.844
2023-01-04,Imagerie,Scanners,4,3,1,0.907
2023-01-04,Imagerie,Échos,15,10,5,0.733
2023-01-04,Urgences,Moniteurs,25,19,6,0.771
2023-01-04,Urgences,Perfuseurs,35,24,11,0.708
2023-01-04,Urgences,Défibrillateurs,15,9,6,0.632
2023-01-05,Réanimation,Respirateurs,120,88,32,0.74
2023-01-05,Réanimation,Moniteurs,90,88,2,0.98
2023-01-05,Réanimation,Perfuseurs,100,83,17,0.836
2023-01-05,Réanimation,Défibrillateurs,25,17,8,0.693
2023-01-05,Réanimation,Ventilateurs_NIV,80,63,17,0.799
2023-01-05,Réanimation,Échos,10,8,2,0.83
2023-01-05,Médecine,Moniteurs,180,142,38,0.791
2023-01-05,Médecine,Perfuseurs,450,308,142,0.687
2023-01-05,Médecine,Échos,30,21,9,0.722
2023-01-05,Médecine,Défibrillateurs,20,12,8,0.605
2023-01-05,Médecine,Respirateurs,20,12,8,0.642
2023-01-05,Chirurgie,Moniteurs,60,46,14,0.768
2023-01-05,Chirurgie,Perfuseurs,250,173,77,0.695
2023-01-05,Chirurgie,Échos,25,16,9,0.659
2023-01-05,Chirurgie,Défibrillateurs,20,12,8,0.624
2023-01-05,Chirurgie,Respirateurs,10,6,4,0.678
2023-01-05,Imagerie,IRM,5,4,1,0.98
2023-01-05,Imagerie,Scanners,4,3,1,0.893
2023-01-05,Imagerie,Échos,15,10,5,0.725
2023-01-05,Urgences,Moniteurs,25,19,6,0.762
2023-01-05,Urgences,Perfuseurs,35,27,8,0.785
2023-01-05,Urgences,Défibrillateurs,15,9,6,0.612
2023-01-06,Réanimation,Respirateurs,120,88,32,0.736
2023-01-06,Réanimation,Moniteurs,90,82,8,0.912
2023-01-06,Réanimation,Perfuseurs,100,82,18,0.826
2023-01-06,Réanimation,Défibrillateurs,25,17,8,0.711
2023-01-06,Réanimation,Ventilateurs_NIV,80,71,9,0.899
2023-01-06,Réanimation,Échos,10,8,2,0.807
2023-01-06,Médecine,Moniteurs,180,146,34,0.813
2023-01-06,Médecine,Perfuseurs,450,340,110,0.757
2023-01-06,Médecine,Échos,30,19,11,0.665
2023-01-06,Médecine,Défibrillateurs,20,12,8,0.626
2023-01-06,Médecine,Respirateurs,20,13,7,0.691
2023-01-06,Chirurgie,Moniteurs,60,47,13,0.8
2023-01-06,Chirurgie,Perfuseurs,250,199,51,0.799
2023-01-06,Chirurgie,Échos,25,16,9,0.667
2023-01-06,Chirurgie,Défibrillateurs,20,12,8,0.608
2023-01-06,Chirurgie,Respirateurs,10,6,4,0.643
2023-01-06,Imagerie,IRM,5,4,1,0.904
2023-01-06,Imagerie,Scanners,4,3,1,0.899
2023-01-06,Imagerie,Échos,15,11,4,0.744
2023-01-06,Urgences,Moniteurs,25,20,5,0.823
2023-01-06,Urgences,Perfuseurs,35,25,10,0.718
2023-01-06,Urgences,Défibrillateurs,15,9,6,0.666
2023-01-07,Réanimation,Respirateurs,120,82,38,0.688
2023-01-07,Réanimation,Moniteurs,90,88,2,0.98
2023-01-07,Réanimation,Perfuseurs,100,88,12,0.882
2023-01-07,Réanimation,Défibrillateurs,25,18,7,0.737
2023-01-07,Réanimation,Ventilateurs_NIV,80,69,11,0.867
2023-01-07,Réanimation,Échos,10,8,2,0.847
2023-01-07,Médecine,Moniteurs,180,149,31,0.832
2023-01-07,Médecine,Perfuseurs,450,354,96,0.789
2023-01-07,Médecine,Échos,30,20,10,0.697
2023-01-07,Médecine,Défibrillateurs,20,11,9,0.597
2023-01-07,Médecine,Respirateurs,20,12,8,0.62
2023-01-07,Chirurgie,Moniteurs,60,47,13,0.793
2023-01-07,Chirurgie,Perfuseurs,250,195,55,0.782
2023-01-07,Chirurgie,Échos,25,18,7,0.726
2023-01-07,Chirurgie,Défibrillateurs,20,12,8,0.602
2023-01-07,Chirurgie,Respirateurs,10,6,4,0.604
2023-01-07,Imagerie,IRM,5,4,1,0.97
2023-01-07,Imagerie,Scanners,4,3,1,0.865
2023-01-07,Imagerie,Échos,15,10,5,0.71
2023-01-07,Urgences,Moniteurs,25,18,7,0.748
2023-01-07,Urgences,Perfuseurs,35,26,9,0.746
2023-01-07,Urgences,Défibrillateurs,15,9,6,0.652
2023-01-08,Réanimation,Respirateurs,120,87,33,0.733
2023-01-08,Réanimation,Moniteurs,90,88,2,0.98
2023-01-08,Réanimation,Perfuseurs,100,91,9,0.911
2023-01-08,Réanimation,Défibrillateurs,25,16,9,0.678
2023-01-08,Réanimation,Ventilateurs_NIV,80,66,14,0.826
2023-01-08,Réanimation,Échos,10,8,2,0.809
2023-01-08,Médecine,Moniteurs,180,146,34,0.812
2023-01-08,Médecine,Perfuseurs,450,335,115,0.745
2023-01-08,Médecine,Échos,30,21,9,0.726
2023-01-08,Médecine,Défibrillateurs,20,11,9,0.595
2023-01-08,Médecine,Respirateurs,20,13,7,0.664
2023-01-08,Chirurgie,Moniteurs,60,52,8,0.879
2023-01-08,Chirurgie,Perfuseurs,250,195,55,0.782
2023-01-08,Chirurgie,Échos,25,17,8,0.714
2023-01-08,Chirurgie,Défibrillateurs,20,11,9,0.591
2023-01-08,Chirurgie,Respirateurs,10,6,4,0.612
2023-01-08,Imagerie,IRM,5,4,1,0.921
2023-01-08,Imagerie,Scanners,4,3,1,0.928
2023-01-08,Imagerie,Échos,15,10,5,0.677
2023-01-08,Urgences,Moniteurs,25,20,5,0.815
2023-01-08,Urgences,Perfuseurs,35,26,9,0.756
2023-01-08,Urgences,Défibrillateurs,15,9,6,0.622
2023-01-09,Réanimation,Respirateurs,120,83,37,0.697
2023-01-09,Réanimation,Moniteurs,90,83,7,0.93
2023-01-09,Réanimation,Perfuseurs,100,79,21,0.791
2023-01-09,Réanimation,Défibrillateurs,25,15,10,0.628
2023-01-09,Réanimation,Ventilateurs_NIV,80,69,11,0.868
2023-01-09,Réanimation,Échos,10,7,3,0.757
2023-01-09,Médecine,Moniteurs,180,133,47,0.742
2023-01-09,Médecine,Perfuseurs,450,340,110,0.758
2023-01-09,Médecine,Échos,30,21,9,0.723
2023-01-09,Médecine,Défibrillateurs,20,12,8,0.612
2023-01-09,Médecine,Respirateurs,20,12,8,0.634
2023-01-09,Chirurgie,Moniteurs,60,53,7,0.89
2023-01-09,Chirurgie,Perfuseurs,250,192,58,0.771
2023-01-09,Chirurgie,Échos,25,17,8,0.683
2023-01-09,Chirurgie,Défibrillateurs,20,13,7,0.667
2023-01-09,Chirurgie,Respirateurs,10,6,4,0.665
2023-01-09,Imagerie,IRM,5,4,1,0.878
2023-01-09,Imagerie,Scanners,4,3,1,0.922
