date,service,lits_totaux,lits_occupes,taux_occupation
2023-01-01,Réanimation,81,70,0.869
2023-01-01,Urgences,108,98,0.908
2023-01-01,Médecine,396,326,0.825
2023-01-01,Chirurgie,306,272,0.889
2023-01-01,Cardiologie,198,161,0.814
2023-01-01,Neurologie,180,143,0.795
2023-01-01,Maladies_infectieuses,126,88,0.7
2023-01-01,Pédiatrie,144,111,0.771
2023-01-01,Autres,261,205,0.789
2023-01-02,Réanimation,81,74,0.92
2023-01-02,Urgences,108,98,0.908
2023-01-02,Médecine,396,340,0.861
2023-01-02,Chirurgie,306,265,0.869
2023-01-02,Cardiologie,198,161,0.816
2023-01-02,Neurologie,180,153,0.853
2023-01-02,Maladies_infectieuses,126,89,0.714
2023-01-02,Pédiatrie,144,112,0.778
2023-01-02,Autres,261,209,0.803
2023-01-03,Réanimation,81,73,0.904
2023-01-03,Urgences,108,101,0.944
2023-01-03,Médecine,396,322,0.815
2023-01-03,Chirurgie,306,272,0.89
2023-01-03,Cardiologie,198,160,0.809
2023-01-03,Neurologie,180,138,0.768
2023-01-03,Maladies_infectieuses,126,91,0.723
2023-01-03,Pédiatrie,144,113,0.791
2023-01-03,Autres,261,215,0.826
2023-01-04,Réanimation,81,71,0.879
2023-01-04,Urgences,108,105,0.975
2023-01-04,Médecine,396,338,0.855
2023-01-04,Chirurgie,306,264,0.863
2023-01-04,Cardiologie,198,164,0.831
2023-01-04,Neurologie,180,146,0.815
2023-01-04,Maladies_infectieuses,126,90,0.716
2023-01-04,Pédiatrie,144,110,0.764
2023-01-04,Autres,261,207,0.793
2023-01-05,Réanimation,81,75,0.935
2023-01-05,Urgences,108,103,0.96
2023-01-05,Médecine,396,348,0.88
2023-01-05,Chirurgie,306,262,0.858
2023-01-05,Cardiologie,198,163,0.825
2023-01-05,Neurologie,180,147,0.817
2023-01-05,Maladies_infectieuses,126,92,0.736
2023-01-05,Pédiatrie,144,107,0.744
2023-01-05,Autres,261,207,0.793
2023-01-06,Réanimation,81,72,0.897
2023-01-06,Urgences,108,106,0.988
2023-01-06,Médecine,396,328,0.831
2023-01-06,Chirurgie,306,283,0.928
2023-01-06,Cardiologie,198,157,0.797
2023-01-06,Neurologie,180,142,0.791
2023-01-06,Maladies_infectieuses,126,91,0.726
2023-01-06,Pédiatrie,144,104,0.729
2023-01-06,Autres,261,209,0.802
2023-01-07,Réanimation,81,72,0.893
2023-01-07,Urgences,108,100,0.931
2023-01-07,Médecine,396,326,0.823
2023-01-07,Chirurgie,306,260,0.851
2023-01-07,Cardiologie,198,153,0.777
2023-01-07,Neurologie,180,148,0.823
2023-01-07,Maladies_infectieuses,126,91,0.728
2023-01-07,Pédiatrie,144,106,0.738
2023-01-07,Autres,261,197,0.757
2023-01-08,Réanimation,81,72,0.891
2023-01-08,Urgences,108,103,0.962
2023-01-08,Médecine,396,343,0.866
2023-01-08,Chirurgie,306,244,0.798
2023-01-08,Cardiologie,198,155,0.786
2023-01-08,Neurologie,180,150,0.835
2023-01-08,Maladies_infectieuses,126,92,0.734
2023-01-08,Pédiatrie,144,112,0.778
2023-01-08,Autres,261,202,0.778
2023-01-09,Réanimation,81,74,0.919
2023-01-09,Urgences,108,104,0.969
2023-01-09,Médecine,396,341,0.862
2023-01-09,Chirurgie,306,254,0.833
2023-01-09,Cardiologie,198,158,0.801
2023-01-09,Neurologie,180,147,0.821
2023-01-09,Maladies_infectieuses,126,93,0.74
2023-01-09,Pédiatrie,144,112,0.783
2023-01-09,Autres,261,212,0.813
2023-01-10,Réanimation,81,73,0.903
2023-01-10,Urgences,108,102,0.953
2023-01-10,Médecine,396,336,0.85
2023-01-10,Chirurgie,306,272,0.891
2023-01-10,Cardiologie,198,171,0.866
2023-01-10,Neurologie,180,147,0.819
2023-01-10,Maladies_infectieuses,126,94,0.751
2023-01-10,Pédiatrie,144,116,0.809
2023-01-10,Autres,261,207,0.794
2023-01-11,Réanimation,81,73,0.904
2023-01-11,Urgences,108,100,0.929
2023-01-11,Médecine,396,347,0.878
2023-01-11,Chirurgie,306,273,0.893
2023-01-11,Cardiologie,198,166,0.842
2023-01-11,Neurologie,180,150,0.837
