date,service,lits_totaux,lits_occupes,taux_occupation
2024-01-01,PRAGUES_(Réa/Pneumo),91,77,0.858
2024-01-01,Urgences_(Passage_court),121,119,0.987
2024-01-01,MSN_(Neuro/Psy),445,356,0.801
2024-01-01,Chirurgie,343,312,0.907
2024-01-01,Coeur_Metabolisme,223,179,0.806
2024-01-01,MSN_(Neuro/Psy),202,162,0.803
2024-01-01,Pôle_31_(Infectieux),142,106,0.747
2024-01-01,Gériatrie,162,127,0.785
2024-01-01,ORPHé_(Onco/Hémato),294,233,0.799
2024-01-02,PRAGUES_(Réa/Pneumo),91,82,0.913
2024-01-02,Urgences_(Passage_court),121,113,0.938
2024-01-02,MSN_(Neuro/Psy),445,394,0.886
2024-01-02,Chirurgie,343,322,0.941
2024-01-02,Coeur_Metabolisme,223,174,0.787
2024-01-02,MSN_(Neuro/Psy),202,164,0.814
2024-01-02,Pôle_31_(Infectieux),142,108,0.764
2024-01-02,Gériatrie,162,121,0.751
2024-01-02,ORPHé_(Onco/Hémato),294,231,0.79
2024-01-03,PRAGUES_(Réa/Pneumo),91,83,0.918
2024-01-03,Urgences_(Passage_court),121,116,0.957
2024-01-03,MSN_(Neuro/Psy),445,361,0.814
2024-01-03,Chirurgie,343,295,0.858
2024-01-03,Coeur_Metabolisme,223,180,0.809
2024-01-03,MSN_(Neuro/Psy),202,158,0.784
2024-01-03,Pôle_31_(Infectieux),142,102,0.729
2024-01-03,Gériatrie,162,126,0.78
2024-01-03,ORPHé_(Onco/Hémato),294,230,0.789
2024-01-04,PRAGUES_(Réa/Pneumo),91,82,0.912
2024-01-04,Urgences_(Passage_court),121,118,0.978
2024-01-04,MSN_(Neuro/Psy),445,407,0.916
2024-01-04,Chirurgie,343,305,0.892
2024-01-04,Coeur_Metabolisme,223,181,0.813
2024-01-04,MSN_(Neuro/Psy),202,164,0.811
2024-01-04,Pôle_31_(Infectieux),142,96,0.69
2024-01-04,Gériatrie,162,128,0.793
2024-01-04,ORPHé_(Onco/Hémato),294,237,0.811
2024-01-05,PRAGUES_(Réa/Pneumo),91,83,0.919
2024-01-05,Urgences_(Passage_court),121,119,0.99
2024-01-05,MSN_(Neuro/Psy),445,399,0.897
2024-01-05,Chirurgie,343,301,0.876
2024-01-05,Coeur_Metabolisme,223,183,0.824
2024-01-05,MSN_(Neuro/Psy),202,169,0.835
2024-01-05,Pôle_31_(Infectieux),142,110,0.785
2024-01-05,Gériatrie,162,125,0.776
2024-01-05,ORPHé_(Onco/Hémato),294,236,0.806
2024-01-06,PRAGUES_(Réa/Pneumo),91,80,0.886
2024-01-06,Urgences_(Passage_court),121,109,0.904
2024-01-06,MSN_(Neuro/Psy),445,371,0.836
2024-01-06,Chirurgie,343,294,0.854
2024-01-06,Coeur_Metabolisme,223,186,0.837
2024-01-06,MSN_(Neuro/Psy),202,162,0.803
2024-01-06,Pôle_31_(Infectieux),142,102,0.722
2024-01-06,Gériatrie,162,117,0.726
2024-01-06,ORPHé_(Onco/Hémato),294,241,0.821
2024-01-07,PRAGUES_(Réa/Pneumo),91,81,0.898
2024-01-07,Urgences_(Passage_court),121,116,0.956
2024-01-07,MSN_(Neuro/Psy),445,395,0.889
2024-01-07,Chirurgie,343,300,0.875
2024-01-07,Coeur_Metabolisme,223,184,0.83
2024-01-07,MSN_(Neuro/Psy),202,158,0.785
2024-01-07,Pôle_31_(Infectieux),142,102,0.728
2024-01-07,Gériatrie,162,129,0.799
2024-01-07,ORPHé_(Onco/Hémato),294,228,0.779
2024-01-08,PRAGUES_(Réa/Pneumo),91,81,0.889
2024-01-08,Urgences_(Passage_court),121,110,0.912
2024-01-08,MSN_(Neuro/Psy),445,382,0.861
2024-01-08,Chirurgie,343,287,0.838
2024-01-08,Coeur_Metabolisme,223,189,0.85
2024-01-08,MSN_(Neuro/Psy),202,165,0.818
2024-01-08,Pôle_31_(Infectieux),142,104,0.732
2024-01-08,Gériatrie,162,119,0.743
2024-01-08,ORPHé_(Onco/Hémato),294,245,0.837
2024-01-09,PRAGUES_(Réa/Pneumo),91,83,0.922
2024-01-09,Urgences_(Passage_court),121,112,0.934
2024-01-09,MSN_(Neuro/Psy),445,371,0.834
2024-01-09,Chirurgie,343,305,0.891
2024-01-09,Coeur_Metabolisme,223,177,0.802
2024-01-09,MSN_(Neuro/Psy),202,166,0.823
2024-01-09,Pôle_31_(Infectieux),142,105,0.745
2024-01-09,Gériatrie,162,123,0.761
2024-01-09,ORPHé_(Onco/Hémato),294,231,0.789
2024-01-10,PRAGUES_(Réa/Pneumo),91,81,0.895
2024-01-10,Urgences_(Passage_court),121,113,0.942
2024-01-10,MSN_(Neuro/Psy),445,396,0.894
