date,service,categorie,effectif_total,effectif_present,taux_absence
2024-01-01,Médecine,total,724,674,0.069
2024-01-01,Médecine,medecins,99,89,0.092
2024-01-01,Médecine,infirmiers,269,244,0.09
2024-01-01,Médecine,aides,178,164,0.078
2024-01-01,Chirurgie,total,561,509,0.091
2024-01-01,Chirurgie,medecins,77,70,0.08
2024-01-01,Chirurgie,infirmiers,208,189,0.091
2024-01-01,Chirurgie,aides,138,125,0.09
2024-01-01,Réanimation,total,112,102,0.084
2024-01-01,Réanimation,medecins,20,18,0.076
2024-01-01,Réanimation,infirmiers,50,46,0.076
2024-01-01,Réanimation,aides,15,13,0.092
2024-01-01,Cardiologie,total,404,374,0.072
2024-01-01,Cardiologie,medecins,50,45,0.096
2024-01-01,Cardiologie,infirmiers,135,123,0.085
2024-01-01,Cardiologie,aides,89,80,0.091
2024-01-01,Neurologie,total,376,347,0.075
2024-01-01,Neurologie,medecins,45,40,0.104
2024-01-01,Neurologie,infirmiers,122,111,0.088
2024-01-01,Neurologie,aides,81,73,0.097
2024-01-01,Maladies_infectieuses,total,270,247,0.085
2024-01-01,Maladies_infectieuses,medecins,32,28,0.102
2024-01-01,Maladies_infectieuses,infirmiers,86,78,0.091
2024-01-01,Maladies_infectieuses,aides,57,52,0.082
2024-01-01,Urgences,total,225,207,0.078
2024-01-01,Urgences,medecins,27,24,0.085
2024-01-01,Urgences,infirmiers,72,65,0.092
2024-01-01,Urgences,aides,48,44,0.079
2024-01-01,Pédiatrie,total,324,304,0.061
2024-01-01,Pédiatrie,medecins,40,36,0.098
2024-01-01,Pédiatrie,infirmiers,108,99,0.08
2024-01-01,Pédiatrie,aides,72,65,0.089
2024-01-01,Autres,total,598,548,0.083
2024-01-01,Autres,medecins,60,54,0.093
2024-01-01,Autres,infirmiers,174,161,0.07
2024-01-01,Autres,aides,132,121,0.078
2024-01-02,Médecine,total,724,659,0.09
2024-01-02,Médecine,medecins,99,90,0.083
2024-01-02,Médecine,infirmiers,269,246,0.084
2024-01-02,Médecine,aides,178,162,0.089
2024-01-02,Chirurgie,total,561,509,0.092
2024-01-02,Chirurgie,medecins,77,71,0.076
2024-01-02,Chirurgie,infirmiers,208,192,0.076
2024-01-02,Chirurgie,aides,138,124,0.098
2024-01-02,Réanimation,total,112,101,0.093
2024-01-02,Réanimation,medecins,20,18,0.099
2024-01-02,Réanimation,infirmiers,50,45,0.084
2024-01-02,Réanimation,aides,15,13,0.092
2024-01-02,Cardiologie,total,404,366,0.092
2024-01-02,Cardiologie,medecins,50,45,0.081
2024-01-02,Cardiologie,infirmiers,135,124,0.076
2024-01-02,Cardiologie,aides,89,81,0.08
2024-01-02,Neurologie,total,376,346,0.078
2024-01-02,Neurologie,medecins,45,41,0.088
2024-01-02,Neurologie,infirmiers,122,112,0.08
2024-01-02,Neurologie,aides,81,72,0.099
2024-01-02,Maladies_infectieuses,total,270,250,0.073
2024-01-02,Maladies_infectieuses,medecins,32,29,0.072
2024-01-02,Maladies_infectieuses,infirmiers,86,78,0.093
2024-01-02,Maladies_infectieuses,aides,57,52,0.081
2024-01-02,Urgences,total,225,204,0.09
2024-01-02,Urgences,medecins,27,24,0.082
2024-01-02,Urgences,infirmiers,72,66,0.075
2024-01-02,Urgences,aides,48,44,0.075
2024-01-02,Pédiatrie,total,324,295,0.087
2024-01-02,Pédiatrie,medecins,40,37,0.068
2024-01-02,Pédiatrie,infirmiers,108,97,0.097
2024-01-02,Pédiatrie,aides,72,65,0.085
2024-01-02,Autres,total,598,547,0.084
2024-01-02,Autres,medecins,60,54,0.086
2024-01-02,Autres,infirmiers,174,160,0.079
2024-01-02,Autres,aides,132,120,0.088
2024-01-03,Médecine,total,724,665,0.081
2024-01-03,Médecine,medecins,99,88,0.105
2024-01-03,Médecine,infirmiers,269,250,0.069
2024-01-03,Médecine,aides,178,165,0.071
2024-01-03,Chirurgie,total,561,508,0.094
2024-01-03,Chirurgie,medecins,77,71,0.076
2024-01-03,Chirurgie,infirmiers,208,191,0.08
2024-01-03,Chirurgie,aides,138,129,0.062
2024-01-03,Réanimation,total,112,102,0.086
2024-01-03,Réanimation,medecins,20,17,0.121
2024-01-03,Réanimation,infirmiers,50,45,0.094
2024-01-03,Réanimation,aides,15,13,0.067
2024-01-03,Cardiologie,total,404,369,0.085
2024-01-03,Cardiologie,medecins,50,45,0.092
2024-01-03,Cardiologie,infirmiers,135,122,0.09
2024-01-03,Cardiologie,aides,89,81,0.079
2024-01-03,Neurologie,total,376,344,0.085
2024-01-03,Neurologie,medecins,45,41,0.071
2024-01-03,Neurologie,infirmiers,122,114,0.065
2024-01-03,Neurologie,aides,81,72,0.1
2024-01-03,Maladies_infectieuses,total,270,243,0.099
2024-01-03,Maladies_infectieuses,medecins,32,29,0.089
2024-01-03,Maladies_infectieuses,infirmiers,86,78,0.09
2024-01-03,Maladies_infectieuses,aides,57,52,0.08
2024-01-03,Urgences,total,225,204,0.091
2024-01-03,Urgences,medecins,27,25,0.073
2024-01-03,Urgences,infirmiers,72,66,0.078
2024-01-03,Urgences,aides,48,44,0.075
2024-01-03,Pédiatrie,total,324,299,0.076
2024-01-03,Pédiatrie,medecins,40,36,0.081
2024-01-03,Pédiatrie,infirmiers,108,98,0.09
2024-01-03,Pédiatrie,aides,72,66,0.075
2024-01-03,Autres,total,598,549,0.081
2024-01-03,Autres,medecins,60,54,0.085
2024-01-03,Autres,infirmiers,174,158,0.089
2024-01-03,Autres,aides,132,121,0.08
2024-01-04,Médecine,total,724,657,0.092
2024-01-04,Médecine,medecins,99,90,0.083
2024-01-04,Médecine,infirmiers,269,244,0.093
2024-01-04,Médecine,aides,178,165,0.069
2024-01-04,Chirurgie,total,561,517,0.078
2024-01-04,Chirurgie,medecins,77,70,0.089
2024-01-04,Chirurgie,infirmiers,208,190,0.085
2024-01-04,Chirurgie,aides,138,126,0.083
2024-01-04,Réanimation,total,112,103,0.073
2024-01-04,Réanimation,medecins,20,18,0.081
2024-01-04,Réanimation,infirmiers,50,45,0.095
2024-01-04,Réanimation,aides,15,13,0.09
2024-01-04,Cardiologie,total,404,369,0.085
2024-01-04,Cardiologie,medecins,50,46,0.076
2024-01-04,Cardiologie,infirmiers,135,122,0.089
2024-01-04,Cardiologie,aides,89,81,0.081
2024-01-04,Neurologie,total,376,345,0.082
2024-01-04,Neurologie,medecins,45,41,0.085
2024-01-04,Neurologie,infirmiers,122,110,0.093
2024-01-04,Neurologie,aides,81,73,0.088
