date,medicament,conso_jour,livraison,stock_fin,alerte_rupture,jours_stock
2024-01-01,Paracétamol_1g,5413,0,156587,False,28.9
2024-01-01,Antibiotiques,3671,0,25489,True,6.9
2024-01-01,Morphine_IV,798,0,5682,False,7.1
2024-01-01,Heparine,11506,0,85694,False,7.4
2024-01-01,Insuline,122202,0,72198,True,0.6
2024-01-02,Paracétamol_1g,5053,16200,167734,False,33.2
2024-01-02,Antibiotiques,3249,2916,25156,False,7.7
2024-01-02,Morphine_IV,772,648,5558,False,7.2
2024-01-02,Heparine,11893,9720,83522,False,7.0
2024-01-02,Insuline,106493,19440,-14855,True,-0.1
2024-01-03,Paracétamol_1g,4734,0,163000,False,34.4
2024-01-03,Antibiotiques,3719,0,21437,True,5.8
2024-01-03,Morphine_IV,773,0,4785,True,6.2
2024-01-03,Heparine,12344,0,71177,True,5.8
2024-01-03,Insuline,111367,0,-111367,True,-1.0
2024-01-04,Paracétamol_1g,4961,16200,174239,False,35.1
2024-01-04,Antibiotiques,3830,2916,20522,True,5.4
2024-01-04,Morphine_IV,824,648,4609,True,5.6
2024-01-04,Heparine,10998,9720,69899,True,6.4
2024-01-04,Insuline,126337,19440,-106897,True,-0.8
2024-01-05,Paracétamol_1g,4768,0,169470,False,35.5
2024-01-05,Antibiotiques,3478,0,17045,True,4.9
2024-01-05,Morphine_IV,832,0,3777,True,4.5
2024-01-05,Heparine,12154,0,57745,True,4.8
2024-01-05,Insuline,114785,0,-114785,True,-1.0
2024-01-06,Paracétamol_1g,4771,0,164699,False,34.5
2024-01-06,Antibiotiques,3424,0,13621,True,4.0
2024-01-06,Morphine_IV,782,0,2995,True,3.8
2024-01-06,Heparine,13235,0,44510,True,3.4
2024-01-06,Insuline,109992,0,-109992,True,-1.0
2024-01-07,Paracétamol_1g,4848,0,159851,False,33.0
2024-01-07,Antibiotiques,3601,0,10020,True,2.8
2024-01-07,Morphine_IV,836,0,2158,True,2.6
2024-01-07,Heparine,11415,0,33095,True,2.9
2024-01-07,Insuline,121525,0,-121525,True,-1.0
2024-01-08,Paracétamol_1g,5022,0,154829,False,30.8
2024-01-08,Antibiotiques,3470,0,6549,True,1.9
2024-01-08,Morphine_IV,805,0,1354,True,1.7
2024-01-08,Heparine,12282,0,20813,True,1.7
2024-01-08,Insuline,122822,0,-122822,True,-1.0
2024-01-09,Paracétamol_1g,5095,16200,165935,False,32.6
2024-01-09,Antibiotiques,3199,2916,6266,True,2.0
2024-01-09,Morphine_IV,775,648,1227,True,1.6
2024-01-09,Heparine,12102,9720,18431,True,1.5
2024-01-09,Insuline,126070,19440,-106630,True,-0.8
2024-01-10,Paracétamol_1g,4862,0,161073,False,33.1
