date,service,equipement,quantite_totale,en_service,disponible,taux_utilisation
2024-01-01,PRAGUES_(Réa/Pneumo),Respirateurs,127,80,47,0.627
2024-01-01,PRAGUES_(Réa/Pneumo),Moniteurs,95,90,5,0.951
2024-01-01,PRAGUES_(Réa/Pneumo),Perfuseurs,106,89,17,0.841
2024-01-01,PRAGUES_(Réa/Pneumo),Défibrillateurs,26,19,7,0.727
2024-01-01,PRAGUES_(Réa/Pneumo),Ventilateurs_NIV,85,72,13,0.859
2024-01-01,PRAGUES_(Réa/Pneumo),Échos,11,8,3,0.841
2024-01-01,MSN_(Neuro/Psy),Moniteurs,191,163,28,0.859
2024-01-01,MSN_(Neuro/Psy),Perfuseurs,477,339,138,0.713
2024-01-01,MSN_(Neuro/Psy),Échos,32,21,11,0.684
2024-01-01,MSN_(Neuro/Psy),Défibrillateurs,21,13,8,0.61
2024-01-01,MSN_(Neuro/Psy),Respirateurs,21,14,7,0.672
2024-01-01,Chirurgie,Moniteurs,64,52,12,0.829
2024-01-01,Chirurgie,Perfuseurs,265,211,54,0.799
2024-01-01,Chirurgie,Échos,26,17,9,0.666
2024-01-01,Chirurgie,Défibrillateurs,21,12,9,0.589
2024-01-01,Chirurgie,Respirateurs,11,6,5,0.69
2024-01-01,Imagerie,IRM,5,4,1,0.98
2024-01-01,Imagerie,Scanners,4,3,1,0.932
2024-01-01,Imagerie,Échos,16,12,4,0.742
2024-01-01,Urgences_(Passage_court),Moniteurs,26,21,5,0.821
2024-01-01,Urgences_(Passage_court),Perfuseurs,37,25,12,0.71
2024-01-01,Urgences_(Passage_court),Défibrillateurs,16,11,5,0.675
2024-01-02,PRAGUES_(Réa/Pneumo),Respirateurs,127,96,31,0.764
2024-01-02,PRAGUES_(Réa/Pneumo),Moniteurs,95,85,10,0.896
2024-01-02,PRAGUES_(Réa/Pneumo),Perfuseurs,106,87,19,0.83
2024-01-02,PRAGUES_(Réa/Pneumo),Défibrillateurs,26,17,9,0.675
2024-01-02,PRAGUES_(Réa/Pneumo),Ventilateurs_NIV,85,68,17,0.811
2024-01-02,PRAGUES_(Réa/Pneumo),Échos,11,8,3,0.823
2024-01-02,MSN_(Neuro/Psy),Moniteurs,191,147,44,0.775
2024-01-02,MSN_(Neuro/Psy),Perfuseurs,477,379,98,0.796
2024-01-02,MSN_(Neuro/Psy),Échos,32,21,11,0.682
2024-01-02,MSN_(Neuro/Psy),Défibrillateurs,21,13,8,0.615
2024-01-02,MSN_(Neuro/Psy),Respirateurs,21,14,7,0.653
2024-01-02,Chirurgie,Moniteurs,64,52,12,0.819
2024-01-02,Chirurgie,Perfuseurs,265,195,70,0.738
2024-01-02,Chirurgie,Échos,26,18,8,0.711
2024-01-02,Chirurgie,Défibrillateurs,21,13,8,0.6
2024-01-02,Chirurgie,Respirateurs,11,6,5,0.674
2024-01-02,Imagerie,IRM,5,4,1,0.953
2024-01-02,Imagerie,Scanners,4,3,1,0.836
2024-01-02,Imagerie,Échos,16,11,5,0.693
2024-01-02,Urgences_(Passage_court),Moniteurs,26,21,5,0.808
2024-01-02,Urgences_(Passage_court),Perfuseurs,37,28,9,0.745
2024-01-02,Urgences_(Passage_court),Défibrillateurs,16,8,8,0.595
2024-01-03,PRAGUES_(Réa/Pneumo),Respirateurs,127,93,34,0.739
2024-01-03,PRAGUES_(Réa/Pneumo),Moniteurs,95,90,5,0.953
2024-01-03,PRAGUES_(Réa/Pneumo),Perfuseurs,106,93,13,0.889
2024-01-03,PRAGUES_(Réa/Pneumo),Défibrillateurs,26,18,8,0.698
2024-01-03,PRAGUES_(Réa/Pneumo),Ventilateurs_NIV,85,70,15,0.835
2024-01-03,PRAGUES_(Réa/Pneumo),Échos,11,8,3,0.8
2024-01-03,MSN_(Neuro/Psy),Moniteurs,191,139,52,0.733
