date,service,lits_totaux,lits_occupes,taux_occupation
2024-01-01,PRAGUES_(Réa/Pneumo),86,81,0.941
2024-01-01,Urgences_(Passage_court),114,111,0.978
2024-01-01,MSN_(Neuro/Psy),420,368,0.877
2024-01-01,Chirurgie,324,292,0.9
2024-01-01,Coeur_Metabolisme,210,174,0.828
2024-01-01,MSN_(Neuro/Psy),191,157,0.823
2024-01-01,Pôle_31_(Infectieux),134,98,0.731
2024-01-01,Gériatrie,153,118,0.773
2024-01-01,ORPHé_(Onco/Hémato),277,235,0.852
2024-01-02,PRAGUES_(Réa/Pneumo),86,75,0.886
2024-01-02,Urgences_(Passage_court),114,106,0.928
2024-01-02,MSN_(Neuro/Psy),420,342,0.818
2024-01-02,Chirurgie,324,277,0.854
2024-01-02,Coeur_Metabolisme,210,169,0.805
2024-01-02,MSN_(Neuro/Psy),191,166,0.876
2024-01-02,Pôle_31_(Infectieux),134,93,0.704
2024-01-02,Gériatrie,153,118,0.775
2024-01-02,ORPHé_(Onco/Hémato),277,219,0.797
2024-01-03,PRAGUES_(Réa/Pneumo),86,78,0.924
2024-01-03,Urgences_(Passage_court),114,108,0.947
2024-01-03,MSN_(Neuro/Psy),420,366,0.873
2024-01-03,Chirurgie,324,287,0.888
2024-01-03,Coeur_Metabolisme,210,167,0.8
2024-01-03,MSN_(Neuro/Psy),191,156,0.817
2024-01-03,Pôle_31_(Infectieux),134,99,0.738
2024-01-03,Gériatrie,153,121,0.798
2024-01-03,ORPHé_(Onco/Hémato),277,226,0.82
2024-01-04,PRAGUES_(Réa/Pneumo),86,76,0.89
2024-01-04,Urgences_(Passage_court),114,111,0.974
2024-01-04,MSN_(Neuro/Psy),420,354,0.844
2024-01-04,Chirurgie,324,289,0.895
2024-01-04,Coeur_Metabolisme,210,176,0.839
2024-01-04,MSN_(Neuro/Psy),191,153,0.804
2024-01-04,Pôle_31_(Infectieux),134,98,0.732
2024-01-04,Gériatrie,153,118,0.771
2024-01-04,ORPHé_(Onco/Hémato),277,231,0.835
2024-01-05,PRAGUES_(Réa/Pneumo),86,77,0.904
2024-01-05,Urgences_(Passage_court),114,112,0.99
2024-01-05,MSN_(Neuro/Psy),420,337,0.803
2024-01-05,Chirurgie,324,283,0.875
2024-01-05,Coeur_Metabolisme,210,169,0.806
2024-01-05,MSN_(Neuro/Psy),191,154,0.806
2024-01-05,Pôle_31_(Infectieux),134,94,0.712
2024-01-05,Gériatrie,153,116,0.76
2024-01-05,ORPHé_(Onco/Hémato),277,232,0.84
2024-01-06,PRAGUES_(Réa/Pneumo),86,75,0.877
2024-01-06,Urgences_(Passage_court),114,107,0.939
2024-01-06,MSN_(Neuro/Psy),420,354,0.844
2024-01-06,Chirurgie,324,265,0.819
2024-01-06,Coeur_Metabolisme,210,162,0.777
2024-01-06,MSN_(Neuro/Psy),191,157,0.825
2024-01-06,Pôle_31_(Infectieux),134,94,0.713
2024-01-06,Gériatrie,153,110,0.726
2024-01-06,ORPHé_(Onco/Hémato),277,210,0.762
2024-01-07,PRAGUES_(Réa/Pneumo),86,74,0.873
2024-01-07,Urgences_(Passage_court),114,103,0.899
2024-01-07,MSN_(Neuro/Psy),420,351,0.837
2024-01-07,Chirurgie,324,277,0.854
2024-01-07,Coeur_Metabolisme,210,174,0.83
2024-01-07,MSN_(Neuro/Psy),191,149,0.784
2024-01-07,Pôle_31_(Infectieux),134,94,0.713
2024-01-07,Gériatrie,153,118,0.775
2024-01-07,ORPHé_(Onco/Hémato),277,214,0.776
2024-01-08,PRAGUES_(Réa/Pneumo),86,76,0.893
2024-01-08,Urgences_(Passage_court),114,108,0.95
2024-01-08,MSN_(Neuro/Psy),420,364,0.867
2024-01-08,Chirurgie,324,265,0.817
2024-01-08,Coeur_Metabolisme,210,181,0.865
2024-01-08,MSN_(Neuro/Psy),191,155,0.813
2024-01-08,Pôle_31_(Infectieux),134,101,0.755
2024-01-08,Gériatrie,153,120,0.787
2024-01-08,ORPHé_(Onco/Hémato),277,222,0.802
2024-01-09,PRAGUES_(Réa/Pneumo),86,75,0.879
2024-01-09,Urgences_(Passage_court),114,107,0.939
2024-01-09,MSN_(Neuro/Psy),420,354,0.846
2024-01-09,Chirurgie,324,276,0.853
2024-01-09,Coeur_Metabolisme,210,176,0.841
2024-01-09,MSN_(Neuro/Psy),191,157,0.826
2024-01-09,Pôle_31_(Infectieux),134,98,0.731
2024-01-09,Gériatrie,153,119,0.781
2024-01-09,ORPHé_(Onco/Hémato),277,223,0.807
2024-01-10,PRAGUES_(Réa/Pneumo),86,82,0.962
2024-01-10,Urgences_(Passage_court),114,109,0.954
2024-01-10,MSN_(Neuro/Psy),420,350,0.834
2024-01-10,Chirurgie,324,277,0.856
2024-01-10,Coeur_Metabolisme,210,177,0.843
2024-01-10,MSN_(Neuro/Psy),191,152,0.8
2024-01-10,Pôle_31_(Infectieux),134,101,0.758
2024-01-10,Gériatrie,153,112,0.737
2024-01-10,ORPHé_(Onco/Hémato),277,215,0.778
2024-01-11,PRAGUES_(Réa/Pneumo),86,77,0.913
2024-01-11,Urgences_(Passage_court),114,110,0.97
2024-01-11,MSN_(Neuro/Psy),420,349,0.831
2024-01-11,Chirurgie,324,276,0.85
2024-01-11,Coeur_Metabolisme,210,174,0.833
2024-01-11,MSN_(Neuro/Psy),191,153,0.8
2024-01-11,Pôle_31_(Infectieux),134,96,0.728
2024-01-11,Gériatrie,153,118,0.774
2024-01-11,ORPHé_(Onco/Hémato),277,215,0.78
2024-01-12,PRAGUES_(Réa/Pneumo),86,81,0.949
2024-01-12,Urgences_(Passage_court),114,108,0.946
2024-01-12,MSN_(Neuro/Psy),420,364,0.869
2024-01-12,Chirurgie,324,273,0.846
2024-01-12,Coeur_Metabolisme,210,171,0.813
2024-01-12,MSN_(Neuro/Psy),191,157,0.822
2024-01-12,Pôle_31_(Infectieux),134,98,0.736
2024-01-12,Gériatrie,153,114,0.756
2024-01-12,ORPHé_(Onco/Hémato),277,229,0.829
2024-01-13,PRAGUES_(Réa/Pneumo),86,73,0.863
2024-01-13,Urgences_(Passage_court),114,109,0.957
2024-01-13,MSN_(Neuro/Psy),420,350,0.834
2024-01-13,Chirurgie,324,281,0.868
2024-01-13,Coeur_Metabolisme,210,173,0.828
2024-01-13,MSN_(Neuro/Psy),191,151,0.79
2024-01-13,Pôle_31_(Infectieux),134,99,0.742
2024-01-13,Gériatrie,153,119,0.78
2024-01-13,ORPHé_(Onco/Hémato),277,219,0.794
2024-01-14,PRAGUES_(Réa/Pneumo),86,76,0.894
2024-01-14,Urgences_(Passage_court),114,104,0.908
2024-01-14,MSN_(Neuro/Psy),420,340,0.812
2024-01-14,Chirurgie,324,269,0.833
2024-01-14,Coeur_Metabolisme,210,165,0.792
2024-01-14,MSN_(Neuro/Psy),191,159,0.835
2024-01-14,Pôle_31_(Infectieux),134,95,0.721
2024-01-14,Gériatrie,153,116,0.764
2024-01-14,ORPHé_(Onco/Hémato),277,208,0.753
2024-01-15,PRAGUES_(Réa/Pneumo),86,78,0.924
2024-01-15,Urgences_(Passage_court),114,110,0.969
2024-01-15,MSN_(Neuro/Psy),420,361,0.862
2024-01-15,Chirurgie,324,279,0.862
2024-01-15,Coeur_Metabolisme,210,165,0.792
2024-01-15,MSN_(Neuro/Psy),191,160,0.84
2024-01-15,Pôle_31_(Infectieux),134,99,0.746
2024-01-15,Gériatrie,153,112,0.737
2024-01-15,ORPHé_(Onco/Hémato),277,212,0.77
2024-01-16,PRAGUES_(Réa/Pneumo),86,78,0.92
2024-01-16,Urgences_(Passage_court),114,111,0.974
2024-01-16,MSN_(Neuro/Psy),420,351,0.837
2024-01-16,Chirurgie,324,279,0.86
2024-01-16,Coeur_Metabolisme,210,179,0.855
2024-01-16,MSN_(Neuro/Psy),191,157,0.824
2024-01-16,Pôle_31_(Infectieux),134,95,0.719
2024-01-16,Gériatrie,153,119,0.785
2024-01-16,ORPHé_(Onco/Hémato),277,227,0.822
2024-01-17,PRAGUES_(Réa/Pneumo),86,75,0.877
2024-01-17,Urgences_(Passage_court),114,108,0.945
2024-01-17,MSN_(Neuro/Psy),420,347,0.827
2024-01-17,Chirurgie,324,282,0.872
2024-01-17,Coeur_Metabolisme,210,176,0.843
2024-01-17,MSN_(Neuro/Psy),191,159,0.836
2024-01-17,Pôle_31_(Infectieux),134,94,0.708
2024-01-17,Gériatrie,153,109,0.721
2024-01-17,ORPHé_(Onco/Hémato),277,228,0.824
2024-01-18,PRAGUES_(Réa/Pneumo),86,77,0.911
2024-01-18,Urgences_(Passage_court),114,112,0.99
2024-01-18,MSN_(Neuro/Psy),420,355,0.847
2024-01-18,Chirurgie,324,277,0.853
2024-01-18,Coeur_Metabolisme,210,164,0.783
2024-01-18,MSN_(Neuro/Psy),191,155,0.816
2024-01-18,Pôle_31_(Infectieux),134,98,0.737
2024-01-18,Gériatrie,153,114,0.756
2024-01-18,ORPHé_(Onco/Hémato),277,222,0.803
2024-01-19,PRAGUES_(Réa/Pneumo),86,80,0.927
2024-01-19,Urgences_(Passage_court),114,107,0.942
2024-01-19,MSN_(Neuro/Psy),420,370,0.884
2024-01-19,Chirurgie,324,273,0.845
2024-01-19,Coeur_Metabolisme,210,184,0.882
2024-01-19,MSN_(Neuro/Psy),191,154,0.808
2024-01-19,Pôle_31_(Infectieux),134,93,0.699
2024-01-19,Gériatrie,153,124,0.816
2024-01-19,ORPHé_(Onco/Hémato),277,212,0.77
2024-01-20,PRAGUES_(Réa/Pneumo),86,71,0.839
2024-01-20,Urgences_(Passage_court),114,102,0.891
2024-01-20,MSN_(Neuro/Psy),420,341,0.814
2024-01-20,Chirurgie,324,276,0.851
2024-01-20,Coeur_Metabolisme,210,171,0.818
2024-01-20,MSN_(Neuro/Psy),191,152,0.799
2024-01-20,Pôle_31_(Infectieux),134,94,0.713
2024-01-20,Gériatrie,153,125,0.825
2024-01-20,ORPHé_(Onco/Hémato),277,205,0.74
2024-01-21,PRAGUES_(Réa/Pneumo),86,75,0.877
2024-01-21,Urgences_(Passage_court),114,103,0.899
2024-01-21,MSN_(Neuro/Psy),420,350,0.836
2024-01-21,Chirurgie,324,280,0.866
2024-01-21,Coeur_Metabolisme,210,167,0.803
2024-01-21,MSN_(Neuro/Psy),191,149,0.786
2024-01-21,Pôle_31_(Infectieux),134,99,0.741
2024-01-21,Gériatrie,153,112,0.737
2024-01-21,ORPHé_(Onco/Hémato),277,217,0.786
2024-01-22,PRAGUES_(Réa/Pneumo),86,81,0.943
2024-01-22,Urgences_(Passage_court),114,106,0.931
2024-01-22,MSN_(Neuro/Psy),420,368,0.878
2024-01-22,Chirurgie,324,275,0.848
2024-01-22,Coeur_Metabolisme,210,169,0.805
2024-01-22,MSN_(Neuro/Psy),191,159,0.838
2024-01-22,Pôle_31_(Infectieux),134,99,0.745
2024-01-22,Gériatrie,153,114,0.756
2024-01-22,ORPHé_(Onco/Hémato),277,216,0.783
2024-01-23,PRAGUES_(Réa/Pneumo),86,81,0.939
2024-01-23,Urgences_(Passage_court),114,112,0.99
2024-01-23,MSN_(Neuro/Psy),420,371,0.886
