date,service,categorie,effectif_total,effectif_present,taux_absence
2024-01-01,MSN_(Neuro/Psy),total,813,736,0.094
2024-01-01,MSN_(Neuro/Psy),medecins,111,100,0.092
2024-01-01,MSN_(Neuro/Psy),infirmiers,302,278,0.081
2024-01-01,MSN_(Neuro/Psy),aides,200,181,0.093
2024-01-01,Chirurgie,total,631,578,0.084
2024-01-01,Chirurgie,medecins,87,78,0.088
2024-01-01,Chirurgie,infirmiers,233,214,0.081
2024-01-01,Chirurgie,aides,155,140,0.089
2024-01-01,PRAGUES_(Réa/Pneumo),total,126,114,0.085
2024-01-01,PRAGUES_(Réa/Pneumo),medecins,22,20,0.082
2024-01-01,PRAGUES_(Réa/Pneumo),infirmiers,56,51,0.092
2024-01-01,PRAGUES_(Réa/Pneumo),aides,17,16,0.066
2024-01-01,Coeur_Metabolisme,total,454,416,0.084
2024-01-01,Coeur_Metabolisme,medecins,56,52,0.073
2024-01-01,Coeur_Metabolisme,infirmiers,152,140,0.071
2024-01-01,Coeur_Metabolisme,aides,100,92,0.071
2024-01-01,MSN_(Neuro/Psy),total,423,387,0.084
2024-01-01,MSN_(Neuro/Psy),medecins,51,46,0.084
2024-01-01,MSN_(Neuro/Psy),infirmiers,137,125,0.088
2024-01-01,MSN_(Neuro/Psy),aides,91,81,0.105
2024-01-01,Pôle_31_(Infectieux),total,303,280,0.075
2024-01-01,Pôle_31_(Infectieux),medecins,36,33,0.089
2024-01-01,Pôle_31_(Infectieux),infirmiers,96,90,0.069
2024-01-01,Pôle_31_(Infectieux),aides,64,58,0.079
2024-01-01,Urgences_(Passage_court),total,252,230,0.087
2024-01-01,Urgences_(Passage_court),medecins,31,28,0.064
2024-01-01,Urgences_(Passage_court),infirmiers,81,73,0.085
2024-01-01,Urgences_(Passage_court),aides,54,49,0.092
2024-01-01,Gériatrie,total,364,334,0.082
2024-01-01,Gériatrie,medecins,45,40,0.089
2024-01-01,Gériatrie,infirmiers,121,112,0.068
2024-01-01,Gériatrie,aides,81,73,0.087
2024-01-01,ORPHé_(Onco/Hémato),total,672,615,0.085
